ECLIPSE ANDROID PROJECT IMPORT SUMMARY
======================================

Manifest Merging:
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/.settings/org.eclipse.jdt.core.prefs
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/AndroidManifest.xml
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/project.properties
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/res/
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/res/drawable/
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/res/drawable/icon.png
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/res/layout/
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/res/layout/camera_calibration_surface_view.xml
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/res/menu/
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/res/menu/calibration.xml
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/res/values/
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/res/values/strings.xml
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/src/
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/src/org/
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/src/org/opencv/
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/src/org/opencv/samples/
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/src/org/opencv/samples/cameracalibration/
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/src/org/opencv/samples/cameracalibration/CalibrationResult.java
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/src/org/opencv/samples/cameracalibration/CameraCalibrationActivity.java
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/src/org/opencv/samples/cameracalibration/CameraCalibrator.java
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/src/org/opencv/samples/cameracalibration/OnCameraFrameRender.java
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/.classpath
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/.project
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/.settings/
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/.settings/org.eclipse.jdt.core.prefs
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/AndroidManifest.xml
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/project.properties
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/res/
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/res/drawable/
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/res/drawable/icon.png
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/res/layout/
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/res/layout/color_blob_detection_surface_view.xml
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/res/values/
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/res/values/strings.xml
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/src/
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/src/org/
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/src/org/opencv/
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/src/org/opencv/samples/
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/src/org/opencv/samples/colorblobdetect/
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/src/org/opencv/samples/colorblobdetect/ColorBlobDetectionActivity.java
* OpenCV-2.4.10-android-sdk/samples/color-blob-detection/src/org/opencv/samples/colorblobdetect/ColorBlobDetector.java
* OpenCV-2.4.10-android-sdk/samples/example-15-puzzle.apk
* OpenCV-2.4.10-android-sdk/samples/example-camera-calibration.apk
* OpenCV-2.4.10-android-sdk/samples/example-color-blob-detection.apk
* OpenCV-2.4.10-android-sdk/samples/example-face-detection.apk
* OpenCV-2.4.10-android-sdk/samples/example-image-manipulations.apk
* OpenCV-2.4.10-android-sdk/samples/example-native-activity.apk
* OpenCV-2.4.10-android-sdk/samples/example-tutorial-1-camerapreview.apk
* OpenCV-2.4.10-android-sdk/samples/example-tutorial-2-mixedprocessing.apk
* OpenCV-2.4.10-android-sdk/samples/example-tutorial-3-cameracontrol.apk
* OpenCV-2.4.10-android-sdk/samples/face-detection/
* OpenCV-2.4.10-android-sdk/samples/face-detection/.classpath
* OpenCV-2.4.10-android-sdk/samples/face-detection/.cproject
* OpenCV-2.4.10-android-sdk/samples/face-detection/.project
* OpenCV-2.4.10-android-sdk/samples/face-detection/.settings/
* OpenCV-2.4.10-android-sdk/samples/face-detection/.settings/org.eclipse.jdt.core.prefs
* OpenCV-2.4.10-android-sdk/samples/face-detection/AndroidManifest.xml
* OpenCV-2.4.10-android-sdk/samples/face-detection/jni/
* OpenCV-2.4.10-android-sdk/samples/face-detection/jni/Android.mk
* OpenCV-2.4.10-android-sdk/samples/face-detection/jni/Application.mk
* OpenCV-2.4.10-android-sdk/samples/face-detection/jni/DetectionBasedTracker_jni.cpp
* OpenCV-2.4.10-android-sdk/samples/face-detection/jni/DetectionBasedTracker_jni.h
* OpenCV-2.4.10-android-sdk/samples/face-detection/project.properties
* OpenCV-2.4.10-android-sdk/samples/face-detection/res/
* OpenCV-2.4.10-android-sdk/samples/face-detection/res/drawable/
* OpenCV-2.4.10-android-sdk/samples/face-detection/res/drawable/icon.png
* OpenCV-2.4.10-android-sdk/samples/face-detection/res/layout/
* OpenCV-2.4.10-android-sdk/samples/face-detection/res/layout/face_detect_surface_view.xml
* OpenCV-2.4.10-android-sdk/samples/face-detection/res/raw/
* OpenCV-2.4.10-android-sdk/samples/face-detection/res/raw/lbpcascade_frontalface.xml
* OpenCV-2.4.10-android-sdk/samples/face-detection/res/values/
* OpenCV-2.4.10-android-sdk/samples/face-detection/res/values/strings.xml
* OpenCV-2.4.10-android-sdk/samples/face-detection/src/
* OpenCV-2.4.10-android-sdk/samples/face-detection/src/org/
* OpenCV-2.4.10-android-sdk/samples/face-detection/src/org/opencv/
* OpenCV-2.4.10-android-sdk/samples/face-detection/src/org/opencv/samples/
* OpenCV-2.4.10-android-sdk/samples/face-detection/src/org/opencv/samples/facedetect/
* OpenCV-2.4.10-android-sdk/samples/face-detection/src/org/opencv/samples/facedetect/DetectionBasedTracker.java
* OpenCV-2.4.10-android-sdk/samples/face-detection/src/org/opencv/samples/facedetect/FdActivity.java
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/.classpath
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/.project
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/.settings/
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/.settings/org.eclipse.jdt.core.prefs
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/AndroidManifest.xml
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/project.properties
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/res/
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/res/drawable/
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/res/drawable/icon.png
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/res/layout/
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/res/layout/image_manipulations_surface_view.xml
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/res/values/
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/res/values/strings.xml
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/src/
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/src/org/
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/src/org/opencv/
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/src/org/opencv/samples/
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/src/org/opencv/samples/imagemanipulations/
* OpenCV-2.4.10-android-sdk/samples/image-manipulations/src/org/opencv/samples/imagemanipulations/ImageManipulationsActivity.java
* OpenCV-2.4.10-android-sdk/samples/native-activity/
* OpenCV-2.4.10-android-sdk/samples/native-activity/.classpath
* OpenCV-2.4.10-android-sdk/samples/native-activity/.cproject
* OpenCV-2.4.10-android-sdk/samples/native-activity/.project
* OpenCV-2.4.10-android-sdk/samples/native-activity/.settings/
* OpenCV-2.4.10-android-sdk/samples/native-activity/.settings/org.eclipse.jdt.core.prefs
* OpenCV-2.4.10-android-sdk/samples/native-activity/AndroidManifest.xml
* OpenCV-2.4.10-android-sdk/samples/native-activity/jni/
* OpenCV-2.4.10-android-sdk/samples/native-activity/jni/Android.mk
* OpenCV-2.4.10-android-sdk/samples/native-activity/jni/Application.mk
* OpenCV-2.4.10-android-sdk/samples/native-activity/jni/native.cpp
* OpenCV-2.4.10-android-sdk/samples/native-activity/project.properties
* OpenCV-2.4.10-android-sdk/samples/native-activity/res/
* OpenCV-2.4.10-android-sdk/samples/native-activity/res/drawable/
* OpenCV-2.4.10-android-sdk/samples/native-activity/res/drawable/icon.png
* OpenCV-2.4.10-android-sdk/samples/native-activity/res/values/
* OpenCV-2.4.10-android-sdk/samples/native-activity/res/values/strings.xml
* OpenCV-2.4.10-android-sdk/samples/native-activity/src/
* OpenCV-2.4.10-android-sdk/samples/native-activity/src/org/
* OpenCV-2.4.10-android-sdk/samples/native-activity/src/org/opencv/
* OpenCV-2.4.10-android-sdk/samples/native-activity/src/org/opencv/samples/
* OpenCV-2.4.10-android-sdk/samples/native-activity/src/org/opencv/samples/NativeActivity/
* OpenCV-2.4.10-android-sdk/samples/native-activity/src/org/opencv/samples/NativeActivity/CvNativeActivity.java
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/.classpath
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/.project
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/.settings/
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/.settings/org.eclipse.jdt.core.prefs
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/AndroidManifest.xml
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/project.properties
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/res/
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/res/drawable/
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/res/drawable/icon.png
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/res/layout/
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/res/layout/tutorial1_surface_view.xml
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/res/values/
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/res/values/strings.xml
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/src/
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/src/org/
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/src/org/opencv/
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/src/org/opencv/samples/
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/src/org/opencv/samples/tutorial1/
* OpenCV-2.4.10-android-sdk/samples/tutorial-1-camerapreview/src/org/opencv/samples/tutorial1/Tutorial1Activity.java
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/.classpath
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/.cproject
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/.project
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/.settings/
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/.settings/org.eclipse.jdt.core.prefs
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/AndroidManifest.xml
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/jni/
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/jni/Android.mk
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/jni/Application.mk
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/jni/jni_part.cpp
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/project.properties
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/res/
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/res/drawable/
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/res/drawable/icon.png
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/res/layout/
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/res/layout/tutorial2_surface_view.xml
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/res/values/
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/res/values/strings.xml
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/src/
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/src/org/
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/src/org/opencv/
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/src/org/opencv/samples/
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/src/org/opencv/samples/tutorial2/
* OpenCV-2.4.10-android-sdk/samples/tutorial-2-mixedprocessing/src/org/opencv/samples/tutorial2/Tutorial2Activity.java
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/.classpath
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/.project
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/.settings/
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/.settings/org.eclipse.jdt.core.prefs
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/AndroidManifest.xml
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/project.properties
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/res/
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/res/drawable/
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/res/drawable/icon.png
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/res/layout/
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/res/layout/tutorial3_surface_view.xml
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/res/values/
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/res/values/strings.xml
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/src/
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/src/org/
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/src/org/opencv/
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/src/org/opencv/samples/
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/src/org/opencv/samples/tutorial3/
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/src/org/opencv/samples/tutorial3/Tutorial3Activity.java
* OpenCV-2.4.10-android-sdk/samples/tutorial-3-cameracontrol/src/org/opencv/samples/tutorial3/Tutorial3View.java
* OpenCV-2.4.10-android-sdk/sdk/
* OpenCV-2.4.10-android-sdk/sdk/etc/
* OpenCV-2.4.10-android-sdk/sdk/etc/haarcascades/
* OpenCV-2.4.10-android-sdk/sdk/etc/haarcascades/haarcascade_eye.xml
* OpenCV-2.4.10-android-sdk/sdk/etc/haarcascades/haarcascade_eye_tree_eyeglasses.xml
* OpenCV-2.4.10-android-sdk/sdk/etc/haarcascades/haarcascade_frontalface_alt.xml
* OpenCV-2.4.10-android-sdk/sdk/etc/haarcascades/haarcascade_frontalface_alt2.xml
* OpenCV-2.4.10-android-sdk/sdk/etc/haarcascades/haarcascade_frontalface_alt_tree.xml
* OpenCV-2.4.10-android-sdk/sdk/etc/haarcascades/haarcascade_frontalface_default.xml
* OpenCV-2.4.10-android-sdk/sdk/etc/haarcascades/haarcascade_fullbody.xml
* OpenCV-2.4.10-android-sdk/sdk/etc/haarcascades/haarcascade_lefteye_2splits.xml
* OpenCV-2.4.10-android-sdk/sdk/etc/haarcascades/haarcascade_lowerbody.xml
* OpenCV-2.4.10-android-sdk/sdk/etc/haarcascades/haarcascade_mcs_eyepair_big.xml
* OpenCV-2.4.10-android-sdk/sdk/etc/haarcascades/haarcascade_mcs_eyepair_small.xml
* OpenCV-2.4.10-android-sdk/sdk/etc/haarcascades/haarcascade_mcs_leftear.xml
* OpenCV-2.4.10-android-sdk/sdk/etc/haarcascades/haarcascade_mcs_lefteye.xml
* OpenCV-2.4.10-android-sdk/sdk/etc/haarcascades/haarcascade_mcs_mouth.xml
* OpenCV-2.4.10-android-sdk/sdk/etc/haarcascades/haarcascade_mcs_nose.xml
